sample_id,company_number,company_name,unique_vats,evidence_rows,unique_domains
195,03954623,MADE REAL LTD,22,22,1
22,04442079,BIRCHWOOD CLADDING SYSTEMS LIMITED,21,21,1
50,06521162,EARLY RISE SCAFFOLDING LIMITED,11,12,2
114,08780811,FRESHBUILD LIMITED,11,11,1
130,11406651,JUST DESIGNER BRANDS LIMITED,11,11,1
86,10547971,M & A BRANDS LTD,6,6,1
150,SC450443,AITKEN PROFESSIONAL SERVICES LIMITED,1,2,2
43,SC248517,CRAIGHEAD & WOOLF LIMITED,1,2,1
106,12498554,ALUQO LTD,1,1,1
124,SC464934,ATLAS ENGINES LTD,1,1,1
134,04104009,ENGINEERING DIAMONDS LIMITED,1,1,1
139,16650513,BYRECROFT LTD,1,1,1
142,05615719,ALDWYCH HOLDINGS LIMITED,1,1,1
145,06595711,D & R BUILDING LIMITED,1,1,1
160,12277319,AGP AUTOSERVICE LTD,1,1,1
161,05212950,MATT COX LTD,1,1,1
165,13883568,IVI FRESH LIMITED,1,1,1
180,10958121,GINASWORLDBOUTIQUE & TRAVEL LTD,1,1,1
20,11403509,DEVON FIRE & SECURITY LTD,1,1,1
21,06649176,PJK ENGINEERING LTD,1,1,1
5,13965119,BACKSTORY BOOKS LTD,1,1,1
57,09359822,TORQUAY TENNIS CLUB LIMITED,1,1,1
64,03822445,WELLOW HEALTH AND FITNESS LIMITED,1,1,1
80,01393294,MALLONCREST LIMITED,1,1,1
93,SC524754,TR PLUMBING & HEATING LTD,1,1,1
96,15366267,FINCH JOHNSON HOLDINGS LIMITED,1,1,1
