sample_id,company_number,company_name,queries_executed,queries_with_results,queries_no_results,failed_queries,search_results_seen,documents_fetched,candidate_occurrences_found,company_number_general_with_results,company_number_general_no_results,company_number_general_failed,company_name_general_with_results,company_name_general_no_results,company_name_general_failed,name_postcode_general_with_results,name_postcode_general_no_results,name_postcode_general_failed,datalog_company_number_with_results,datalog_company_number_no_results,datalog_company_number_failed,datalog_company_name_with_results,datalog_company_name_no_results,datalog_company_name_failed,vat_lookup_company_number_with_results,vat_lookup_company_number_no_results,vat_lookup_company_number_failed,vat_lookup_company_name_with_results,vat_lookup_company_name_no_results,vat_lookup_company_name_failed
1,06928307,BREEZE OFFICE SOLUTIONS LIMITED,7,5,2,0,21,11,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0
2,16620274,ELFACTOGIA LIMITED,7,4,2,1,12,4,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
3,12445392,SOUMYA ANAESTHETIC AND SURGICAL SERVICES LTD,7,5,0,2,21,9,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1
4,14595622,PADDOCK VEHICLE SOLUTIONS LTD,7,4,3,0,16,6,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
5,13965119,BACKSTORY BOOKS LTD,7,4,2,1,12,4,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0
6,11813889,R AND D LEIGHFIELD LIMITED,7,3,3,1,15,7,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0
7,16849154,ALIGNED COLLAB LTD,7,3,3,1,7,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0
8,05855755,ALLERTON BYWATER MANAGEMENT COMPANY LIMITED,7,1,5,1,5,4,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0
9,16617417,J COWIE FUN FAIRS LTD,7,4,3,0,13,4,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0
10,17290336,BVG HOLDINGS LIMITED,7,3,3,1,11,5,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0
11,16571822,FEREX ENGINEERING LIMITED,7,7,0,0,25,11,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
12,01147645,RUTLAND HOUSE (BRISTOL) LIMITED,7,3,4,0,11,5,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0
13,09737289,TOP DOG TATTOOZ LIMITED,7,5,2,0,21,9,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0
