company_number,company_name,candidate_vat,hmrc_valid,hmrc_name,final_status,verification_source,verification_method,verification_date
12498554,ALUQO LTD,GB347020919,True,ALUQO LIMITED,VERIFIED_MATCH,HMRC_PUBLIC_VAT_CHECKER,MANUAL,2026-09-14
08780811,FRESHBUILD LIMITED,GB341306832,True,FRESHBUILD LIMITED,VERIFIED_MATCH,HMRC_PUBLIC_VAT_CHECKER,MANUAL,2026-09-14
SC464934,ATLAS ENGINES LTD,GB187610292,True,ATLAS ENGINES LTD,VERIFIED_MATCH,HMRC_PUBLIC_VAT_CHECKER,MANUAL,2026-09-14
11406651,JUST DESIGNER BRANDS LIMITED,GB117513828,True,JANAN LTD,VALID_WRONG_ENTITY,HMRC_PUBLIC_VAT_CHECKER,MANUAL,2026-09-14
11406651,JUST DESIGNER BRANDS LIMITED,GB324864588,True,CAFE JANAN LIMITED,VALID_WRONG_ENTITY,HMRC_PUBLIC_VAT_CHECKER,MANUAL,2026-09-14
11406651,JUST DESIGNER BRANDS LIMITED,GB325056719,True,JUST DESIGNER BRANDS LTD,VERIFIED_MATCH,HMRC_PUBLIC_VAT_CHECKER,MANUAL,2026-09-14
04104009,ENGINEERING DIAMONDS LIMITED,GB272431866,True,ENGINEERING DIAMONDS LIMITED,VERIFIED_MATCH,HMRC_PUBLIC_VAT_CHECKER,MANUAL,2026-09-14
16650513,BYRECROFT LTD,GB500664621,True,BYRECROFT LTD,VERIFIED_MATCH,HMRC_PUBLIC_VAT_CHECKER,MANUAL,2026-09-14
05615719,ALDWYCH HOLDINGS LIMITED,GB888219670,True,ANERGI INTERNATIONAL LTD,VALID_WRONG_ENTITY,HMRC_PUBLIC_VAT_CHECKER,MANUAL,2026-09-14
06595711,D & R BUILDING LIMITED,GB128383111,True,D & R BUILDING MAINTENANCE LTD,VALID_WRONG_ENTITY,HMRC_PUBLIC_VAT_CHECKER,MANUAL,2026-09-14
SC450443,AITKEN PROFESSIONAL SERVICES LIMITED,GB171135632,True,AITKEN PROFESSIONAL SERVICES LIMITED,VERIFIED_MATCH,HMRC_PUBLIC_VAT_CHECKER,MANUAL,2026-09-14
12277319,AGP AUTOSERVICE LTD,GB339851858,True,AGP AUTOSERVICE LTD,VERIFIED_MATCH,HMRC_PUBLIC_VAT_CHECKER,MANUAL,2026-09-14
05212950,MATT COX LTD,GB816091440,False,,INVALID,HMRC_PUBLIC_VAT_CHECKER,MANUAL,2026-09-14
13883568,IVI FRESH LIMITED,GB437807766,True,IVI FRESH LIMITED,VERIFIED_MATCH,HMRC_PUBLIC_VAT_CHECKER,MANUAL,2026-09-14
10958121,GINASWORLDBOUTIQUE & TRAVEL LTD,GB322291432,True,GINASWORLDBOUTIQUE & TRAVEL LTD,VERIFIED_MATCH,HMRC_PUBLIC_VAT_CHECKER,MANUAL,2026-09-14
03954623,MADE REAL LTD,GB107325051,True,ACCOUNTANCY ALLIANCE LTD,VALID_WRONG_ENTITY,HMRC_PUBLIC_VAT_CHECKER,MANUAL,2026-09-14
03954623,MADE REAL LTD,GB114357436,True,ARRAMPICA LTD,VALID_WRONG_ENTITY,HMRC_PUBLIC_VAT_CHECKER,MANUAL,2026-09-14
03954623,MADE REAL LTD,GB186460386,True,MADE REAL LTD,VERIFIED_MATCH,HMRC_PUBLIC_VAT_CHECKER,MANUAL,2026-09-14
11403509,DEVON FIRE & SECURITY LTD,GB324581311,True,DEVON FIRE & SECURITY LTD,VERIFIED_MATCH,HMRC_PUBLIC_VAT_CHECKER,MANUAL,2026-09-14
06649176,PJK ENGINEERING LTD,GB132842036,True,PJK ENGINEERING LTD,VERIFIED_MATCH,HMRC_PUBLIC_VAT_CHECKER,MANUAL,2026-09-14
04442079,BIRCHWOOD CLADDING SYSTEMS LIMITED,GB790297889,True,BIRCHWOOD BOARDING KENNELS & CATTERY LIMITED,VALID_WRONG_ENTITY,HMRC_PUBLIC_VAT_CHECKER,MANUAL,2026-09-14
04442079,BIRCHWOOD CLADDING SYSTEMS LIMITED,GB801699717,True,BIRCHWOOD CLADDING SYSTEMS LIMITED,VERIFIED_MATCH,HMRC_PUBLIC_VAT_CHECKER,MANUAL,2026-09-14
SC248517,CRAIGHEAD & WOOLF LIMITED,GB635008071,True,CRAIGHEAD & WOOLF LIMITED,VERIFIED_MATCH,HMRC_PUBLIC_VAT_CHECKER,MANUAL,2026-09-14
13965119,BACKSTORY BOOKS LTD,GB406068415,True,BACKSTORY BOOKS LIMITED,VERIFIED_MATCH,HMRC_PUBLIC_VAT_CHECKER,MANUAL,2026-09-14
06521162,EARLY RISE SCAFFOLDING LIMITED,GB704523268,True,ALGARNICK FARMS LIMITED,VALID_WRONG_ENTITY,HMRC_PUBLIC_VAT_CHECKER,MANUAL,2026-09-14
06521162,EARLY RISE SCAFFOLDING LIMITED,GB723384341,True,EARLY RISE SCAFFOLDING LIMITED,VERIFIED_MATCH,HMRC_PUBLIC_VAT_CHECKER,MANUAL,2026-09-14
06521162,EARLY RISE SCAFFOLDING LIMITED,GB898631659,True,AFFINA MARINE LTD,VALID_WRONG_ENTITY,HMRC_PUBLIC_VAT_CHECKER,MANUAL,2026-09-14
03822445,WELLOW HEALTH AND FITNESS LIMITED,GB744943016,True,WELLOW HEALTH AND FITNESS LIMITED,VERIFIED_MATCH,HMRC_PUBLIC_VAT_CHECKER,MANUAL,2026-09-14
01393294,MALLONCREST LIMITED,GB814233362,True,MALLONCREST LIMITED,VERIFIED_MATCH,HMRC_PUBLIC_VAT_CHECKER,MANUAL,2026-09-14
10547971,M & A BRANDS LTD,GB160418335,True,E1 PRINTING LIMITED,VALID_WRONG_ENTITY,HMRC_PUBLIC_VAT_CHECKER,MANUAL,2026-09-14
10547971,M & A BRANDS LTD,GB175765957,True,LASTMINUTEPRINT.COM LIMITED,VALID_WRONG_ENTITY,HMRC_PUBLIC_VAT_CHECKER,MANUAL,2026-09-14
10547971,M & A BRANDS LTD,GB360448307,True,M & A BRANDS LTD,VERIFIED_MATCH,HMRC_PUBLIC_VAT_CHECKER,MANUAL,2026-09-14
SC524754,TR PLUMBING & HEATING LTD,GB238984062,True,TR PLUMBING & HEATING LTD,VERIFIED_MATCH,HMRC_PUBLIC_VAT_CHECKER,MANUAL,2026-09-14
