sample_id,company_name,company_number,company_category,company_status,country_of_origin,incorporation_date,address_care_of,address_po_box,address_line_1,address_line_2,post_town,county,address_country,postcode,accounts_category,sic_1,sic_2,sic_3,sic_4,companies_house_uri,website_found,website_url,vat_candidate,vat_source,vat_source_url,hmrc_checked,hmrc_valid,hmrc_registered_name,hmrc_registered_address,name_match,address_match,entity_match,final_status,notes
1,BREEZE OFFICE SOLUTIONS LIMITED,06928307,Private Limited Company,Active,United Kingdom,09/06/2009,,,UNIT 3 FLITCH INDUSTRIAL ESTATE,CHELMSFORD ROAD,DUNMOW,,ENGLAND,CM6 1XJ,TOTAL EXEMPTION FULL,46180 - Agents specialized in the sale of other particular products,,,,http://business.data.gov.uk/id/company/06928307,,,,,,,,,,,,,,
2,ELFACTOGIA LIMITED,16620274,Private Limited Company,Active,United Kingdom,31/07/2025,,,131 FINSBURY,PAVEMENT,LONDON,,UNITED KINGDOM,EC2A 1NT,NO ACCOUNTS FILED,20420 - Manufacture of perfumes and toilet preparations,46450 - Wholesale of perfume and cosmetics,47750 - Retail sale of cosmetic and toilet articles in specialised stores,70229 - Management consultancy activities other than financial management,http://business.data.gov.uk/id/company/16620274,,,,,,,,,,,,,,
3,SOUMYA ANAESTHETIC AND SURGICAL SERVICES LTD,12445392,Private Limited Company,Active,United Kingdom,05/02/2020,,,4 LIGHTHORNE RISE,,LUTON,,ENGLAND,LU3 3XG,TOTAL EXEMPTION FULL,"74909 - Other professional, scientific and technical activities n.e.c.",86220 - Specialists medical practice activities,,,http://business.data.gov.uk/id/company/12445392,,,,,,,,,,,,,,
4,PADDOCK VEHICLE SOLUTIONS LTD,14595622,Private Limited Company,Active,United Kingdom,16/01/2023,,,UNIT 2A TRENTHAM TRADE PARK,STANLEY MATTHEWS WAY,STOKE-ON-TRENT,,ENGLAND,ST4 8GA,TOTAL EXEMPTION FULL,45200 - Maintenance and repair of motor vehicles,,,,http://business.data.gov.uk/id/company/14595622,,,,,,,,,,,,,,
5,BACKSTORY BOOKS LTD,13965119,Private Limited Company,Active,United Kingdom,09/03/2022,,,71 BALHAM HIGH ROAD,,LONDON,,ENGLAND,SW12 9AP,TOTAL EXEMPTION FULL,47610 - Retail sale of books in specialised stores,,,,http://business.data.gov.uk/id/company/13965119,,,,,,,,,,,,,,
6,R AND D LEIGHFIELD LIMITED,11813889,Private Limited Company,Active,United Kingdom,07/02/2019,,,UPPER FLAT,1 ALBANY ROAD,FALMOUTH,,UNITED KINGDOM,TR11 3RP,MICRO ENTITY,70229 - Management consultancy activities other than financial management,,,,http://business.data.gov.uk/id/company/11813889,,,,,,,,,,,,,,
7,ALIGNED COLLAB LTD,16849154,Private Limited Company,Active,United Kingdom,11/11/2025,,,2 MOIR CLOSE,,SOUTH CROYDON,,ENGLAND,CR2 0LQ,NO ACCOUNTS FILED,47910 - Retail sale via mail order houses or via Internet,62012 - Business and domestic software development,70210 - Public relations and communications activities,90030 - Artistic creation,http://business.data.gov.uk/id/company/16849154,,,,,,,,,,,,,,
8,ALLERTON BYWATER MANAGEMENT COMPANY LIMITED,05855755,Private Limited Company,Active,United Kingdom,23/06/2006,,,9 PIONEER COURT,MORTON PALMS,DARLINGTON,,ENGLAND,DL1 4WD,TOTAL EXEMPTION FULL,98000 - Residents property management,,,,http://business.data.gov.uk/id/company/05855755,,,,,,,,,,,,,,
9,J COWIE FUN FAIRS LTD,16617417,Private Limited Company,Active,United Kingdom,30/07/2025,,,C/O ATRIA ACCOUNTANTS LTD IMPERIAL HOUSE,79-81 HORNBY STREET,BURY,,ENGLAND,BL9 5BN,NO ACCOUNTS FILED,93210 - Activities of amusement parks and theme parks,,,,http://business.data.gov.uk/id/company/16617417,,,,,,,,,,,,,,
10,BVG HOLDINGS LIMITED,17290336,Private Limited Company,Active,United Kingdom,20/06/2026,,,"BROADWAY VETERINARY GROUP UNIT 1, THE LINKS",HERNE BUSINESS PARK,HERNE BAY,,UNITED KINGDOM,CT6 7FE,NO ACCOUNTS FILED,75000 - Veterinary activities,,,,http://business.data.gov.uk/id/company/17290336,,,,,,,,,,,,,,
11,FEREX ENGINEERING LIMITED,16571822,Private Limited Company,Active,United Kingdom,09/07/2025,,,20 WENLOCK ROAD,,LONDON,,ENGLAND,N1 7GU,MICRO ENTITY,33110 - Repair of fabricated metal products,,,,http://business.data.gov.uk/id/company/16571822,,,,,,,,,,,,,,
12,RUTLAND HOUSE (BRISTOL) LIMITED,01147645,Private Limited Company,Active,United Kingdom,26/11/1973,,,STONEMEAD HOUSE,95 LONDON ROAD,CROYDON,SURREY,UNITED KINGDOM,CR0 2RF,MICRO ENTITY,98000 - Residents property management,,,,http://business.data.gov.uk/id/company/01147645,,,,,,,,,,,,,,
13,TOP DOG TATTOOZ LIMITED,09737289,Private Limited Company,Active,United Kingdom,18/08/2015,,,23A THE PRECINCT,LONDON ROAD,WATERLOOVILLE,HAMPSHIRE,ENGLAND,PO7 7DT,MICRO ENTITY,90030 - Artistic creation,,,,http://business.data.gov.uk/id/company/09737289,,,,,,,,,,,,,,
14,ASSOCIATED SUB-CONTRACTORS IN LIMITED PARTNERSHIP WITH JAMES DUFFY,LP006684,Limited Partnership,Active,United Kingdom,22/12/1999,,,LEE VALLEY TECHNOPARK,ASHLEY ROAD,TOTTENHAM,LONDON,,N17 9LN,NO ACCOUNTS FILED,None Supplied,,,,http://business.data.gov.uk/id/company/LP006684,,,,,,,,,,,,,,
15,JOBESTLE LIMITED,11739324,Private Limited Company,Active,United Kingdom,21/12/2018,,,23 MUIRFIELD,REDHOUSE,SWINDON,,ENGLAND,SN25 2DD,MICRO ENTITY,87300 - Residential care activities for the elderly and disabled,,,,http://business.data.gov.uk/id/company/11739324,,,,,,,,,,,,,,
16,SLADHOLDINGS LIMITED,10140135,Private Limited Company,Active,United Kingdom,21/04/2016,,,1 COOMBE ROAD,,LONDON,,ENGLAND,SE26 6QW,MICRO ENTITY,42120 - Construction of railways and underground railways,,,,http://business.data.gov.uk/id/company/10140135,,,,,,,,,,,,,,
17,UNITED TAXIS DUMFRIES LTD,SC888249,Private Limited Company,Active,United Kingdom,01/05/2026,,,UNIT 6 UNIT 6 GARROCH BUSINESS PARK,CARGENBRIDGE,DUMFRIES,,UNITED KINGDOM,DG1 8PN,NO ACCOUNTS FILED,49320 - Taxi operation,,,,http://business.data.gov.uk/id/company/SC888249,,,,,,,,,,,,,,
18,SKIVE STUDIO LIMITED,SC882722,Private Limited Company,Active,United Kingdom,17/03/2026,,,STUDIO 2/6B,12 WASHINGTON STREET,GLASGOW,GLASGOW,UNITED KINGDOM,G3 8AZ,NO ACCOUNTS FILED,90030 - Artistic creation,,,,http://business.data.gov.uk/id/company/SC882722,,,,,,,,,,,,,,
19,TWIRL TO THRIVE CIC,17355750,Community Interest Company,Active,United Kingdom,22/07/2026,,,23 WHITMORE AVENUE,,GRAYS,,ENGLAND,RM16 2JA,NO ACCOUNTS FILED,86900 - Other human health activities,,,,http://business.data.gov.uk/id/company/17355750,,,,,,,,,,,,,,
