sample_id,company_number,company_name,candidate_vat,raw_match,source_url,source_domain,source_type,query_type,search_query,extraction_reason,company_number_on_page,company_name_on_page,entity_evidence,evidence_text,local_company_number,local_company_name,local_entity_evidence,keep_after_local_filter
106,12498554,ALUQO LTD,347020919,GB347020919,https://www.vat-lookup.co.uk/verify/vat_check.php/VATNumber/GB347020919,vat-lookup.co.uk,SEARCH_SNIPPET,NAME_POSTCODE_GENERAL,"""ALUQO LTD"" ""CF43 4UG"" VAT",GB_PREFIX,True,True,COMPANY_NUMBER,ALUQO LIMITED VAT sales tax information. VAT id GB347020919. Company registration number 12498554. Lookup / search / check company VAT registration information. Find a company's V,True,True,LOCAL_COMPANY_NUMBER,True
114,08780811,FRESHBUILD LIMITED,341306832,GB341306832,https://www.vat-lookup.co.uk/verify/vat_check.php/VATNumber/GB341306832/CompanyName/FRESHBUILD+LIMITED,vat-lookup.co.uk,SEARCH_SNIPPET,VAT_LOOKUP_COMPANY_NUMBER,"""08780811"" site:vat-lookup.co.uk",GB_PREFIX,True,True,COMPANY_NUMBER,"Nov 19, 2013 · FRESHBUILD LIMITED VAT sales tax information. VAT id GB341306832. Company registration number 08780811. Lookup / search / check company VAT registration information. Find a company's V",True,True,LOCAL_COMPANY_NUMBER,True
124,SC464934,ATLAS ENGINES LTD,187610292,GB187610292,https://www.vat-lookup.co.uk/verify/vat_check.php/VATNumber/GB187610292,vat-lookup.co.uk,SEARCH_SNIPPET,COMPANY_NAME_GENERAL,"""ATLAS ENGINES LTD"" ""VAT""",GB_PREFIX,True,True,COMPANY_NUMBER,ATLAS ENGINES LTD VAT sales tax information. VAT id GB187610292. Company registration number SC464934. Lookup / search / check company VAT registration information. Find a company's V,True,True,LOCAL_COMPANY_NUMBER,True
130,11406651,JUST DESIGNER BRANDS LIMITED,117513828,GB117513828,http://vatsearch.co.uk/verify/vat_check.php/VATNumber/GB325056719,vatsearch.co.uk,WEBPAGE,NAME_POSTCODE_GENERAL,"""JUST DESIGNER BRANDS LIMITED"" ""BD7 1NP"" VAT",GB_PREFIX,True,True,COMPANY_NUMBER,ormation on JUST DESIGNER BRANDS LIMITED >> Companies At Post Code BD7 1NP CAFE JANAN LIMITED GB324864588 JANAN LIMITED GB117513828 3AK BIRMINGHAM LIMITED GB193745571 3AK (MANCHESTER) LIMITED GB209996459 JANAN ONLINE LIMITED GB221436445 3AK LONDON LIM,False,True,LOCAL_COMPANY_NAME,True
130,11406651,JUST DESIGNER BRANDS LIMITED,324864588,GB324864588,http://vatsearch.co.uk/verify/vat_check.php/VATNumber/GB325056719,vatsearch.co.uk,WEBPAGE,NAME_POSTCODE_GENERAL,"""JUST DESIGNER BRANDS LIMITED"" ""BD7 1NP"" VAT",GB_PREFIX,True,True,COMPANY_NUMBER, made or recorded More information on JUST DESIGNER BRANDS LIMITED >> Companies At Post Code BD7 1NP CAFE JANAN LIMITED GB324864588 JANAN LIMITED GB117513828 3AK BIRMINGHAM LIMITED GB193745571 3AK (MANCHESTER) LIMITED GB209996459 JANAN ONLINE LIMITED ,False,True,LOCAL_COMPANY_NAME,True
130,11406651,JUST DESIGNER BRANDS LIMITED,325056719,GB325056719,http://vatsearch.co.uk/verify/vat_check.php/VATNumber/GB325056719,vatsearch.co.uk,SEARCH_SNIPPET,NAME_POSTCODE_GENERAL,"""JUST DESIGNER BRANDS LIMITED"" ""BD7 1NP"" VAT",GB_PREFIX,True,True,COMPANY_NUMBER,JUST DESIGNER BRANDS LTD VAT sales tax information. VAT id GB325056719. Company registration number 11406651. Lookup / search / check company VAT registration information. Find a company's V,True,True,LOCAL_COMPANY_NUMBER,True
134,04104009,ENGINEERING DIAMONDS LIMITED,272431866,GB272431866,https://www.vat-lookup.co.uk/verify/vat_check.php/VATNumber/GB272431866/CompanyName/ENGINEERING+DIAMONDS+LIMITED,vat-lookup.co.uk,SEARCH_SNIPPET,NAME_POSTCODE_GENERAL,"""ENGINEERING DIAMONDS LIMITED"" ""CV2 5DL"" VAT",GB_PREFIX,True,True,COMPANY_NUMBER,ENGINEERING DIAMONDS LIMITED VAT sales tax information. VAT id GB272431866. Company registration number 04104009. Lookup / search / check company VAT registration information. Find a company's V,True,True,LOCAL_COMPANY_NUMBER,True
139,16650513,BYRECROFT LTD,500664621,500664621,https://www.vatnumberfinder.com/company/byrecroft-ltd-500664621.html,vatnumberfinder.com,SEARCH_SNIPPET,COMPANY_NUMBER_GENERAL,"""16650513"" VAT",VAT_CONTEXT,False,True,COMPANY_NAME,"Find detailed information about BYRECROFT LTD, including VAT Number 500664621, address, and company registration details.",False,True,LOCAL_COMPANY_NAME,True
142,05615719,ALDWYCH HOLDINGS LIMITED,888219670,GB888219670,https://www.vat-lookup.co.uk/verify/vat_check.php/VATNumber/GB888219670/CompanyName/ALDWYCH+HOLDINGS+LIMITED,vat-lookup.co.uk,SEARCH_SNIPPET,COMPANY_NAME_GENERAL,"""ALDWYCH HOLDINGS LIMITED"" ""VAT""",GB_PREFIX,True,True,COMPANY_NUMBER,ALDWYCH HOLDINGS LIMITED VAT sales tax information. VAT id GB888219670. Company registration number 05615719. Lookup / search / check company VAT registration information. Find a company's V,True,True,LOCAL_COMPANY_NUMBER,True
145,06595711,D & R BUILDING LIMITED,128383111,GB128383111,https://www.vat-lookup.co.uk/verify/vat_check.php/VATNumber/GB128383111,vat-lookup.co.uk,SEARCH_SNIPPET,VAT_LOOKUP_COMPANY_NAME,"""D & R BUILDING LIMITED"" site:vat-lookup.co.uk",GB_PREFIX,False,True,COMPANY_NAME,D & R BUILDING MAINTENANCE LTD VAT sales tax information. VAT id GB128383111. Company registration number 07764934. Lookup / search / check company VAT registration information. Find a company's V,False,True,LOCAL_COMPANY_NAME,True
