company_number,company_name,vat_number,hmrc_registered_name,verification_source,verification_method,verification_date
12498554,ALUQO LTD,GB347020919,ALUQO LIMITED,HMRC_PUBLIC_VAT_CHECKER,MANUAL,2026-09-14
08780811,FRESHBUILD LIMITED,GB341306832,FRESHBUILD LIMITED,HMRC_PUBLIC_VAT_CHECKER,MANUAL,2026-09-14
SC464934,ATLAS ENGINES LTD,GB187610292,ATLAS ENGINES LTD,HMRC_PUBLIC_VAT_CHECKER,MANUAL,2026-09-14
11406651,JUST DESIGNER BRANDS LIMITED,GB325056719,JUST DESIGNER BRANDS LTD,HMRC_PUBLIC_VAT_CHECKER,MANUAL,2026-09-14
04104009,ENGINEERING DIAMONDS LIMITED,GB272431866,ENGINEERING DIAMONDS LIMITED,HMRC_PUBLIC_VAT_CHECKER,MANUAL,2026-09-14
16650513,BYRECROFT LTD,GB500664621,BYRECROFT LTD,HMRC_PUBLIC_VAT_CHECKER,MANUAL,2026-09-14
SC450443,AITKEN PROFESSIONAL SERVICES LIMITED,GB171135632,AITKEN PROFESSIONAL SERVICES LIMITED,HMRC_PUBLIC_VAT_CHECKER,MANUAL,2026-09-14
12277319,AGP AUTOSERVICE LTD,GB339851858,AGP AUTOSERVICE LTD,HMRC_PUBLIC_VAT_CHECKER,MANUAL,2026-09-14
13883568,IVI FRESH LIMITED,GB437807766,IVI FRESH LIMITED,HMRC_PUBLIC_VAT_CHECKER,MANUAL,2026-09-14
10958121,GINASWORLDBOUTIQUE & TRAVEL LTD,GB322291432,GINASWORLDBOUTIQUE & TRAVEL LTD,HMRC_PUBLIC_VAT_CHECKER,MANUAL,2026-09-14
03954623,MADE REAL LTD,GB186460386,MADE REAL LTD,HMRC_PUBLIC_VAT_CHECKER,MANUAL,2026-09-14
11403509,DEVON FIRE & SECURITY LTD,GB324581311,DEVON FIRE & SECURITY LTD,HMRC_PUBLIC_VAT_CHECKER,MANUAL,2026-09-14
06649176,PJK ENGINEERING LTD,GB132842036,PJK ENGINEERING LTD,HMRC_PUBLIC_VAT_CHECKER,MANUAL,2026-09-14
04442079,BIRCHWOOD CLADDING SYSTEMS LIMITED,GB801699717,BIRCHWOOD CLADDING SYSTEMS LIMITED,HMRC_PUBLIC_VAT_CHECKER,MANUAL,2026-09-14
SC248517,CRAIGHEAD & WOOLF LIMITED,GB635008071,CRAIGHEAD & WOOLF LIMITED,HMRC_PUBLIC_VAT_CHECKER,MANUAL,2026-09-14
13965119,BACKSTORY BOOKS LTD,GB406068415,BACKSTORY BOOKS LIMITED,HMRC_PUBLIC_VAT_CHECKER,MANUAL,2026-09-14
06521162,EARLY RISE SCAFFOLDING LIMITED,GB723384341,EARLY RISE SCAFFOLDING LIMITED,HMRC_PUBLIC_VAT_CHECKER,MANUAL,2026-09-14
03822445,WELLOW HEALTH AND FITNESS LIMITED,GB744943016,WELLOW HEALTH AND FITNESS LIMITED,HMRC_PUBLIC_VAT_CHECKER,MANUAL,2026-09-14
01393294,MALLONCREST LIMITED,GB814233362,MALLONCREST LIMITED,HMRC_PUBLIC_VAT_CHECKER,MANUAL,2026-09-14
10547971,M & A BRANDS LTD,GB360448307,M & A BRANDS LTD,HMRC_PUBLIC_VAT_CHECKER,MANUAL,2026-09-14
SC524754,TR PLUMBING & HEATING LTD,GB238984062,TR PLUMBING & HEATING LTD,HMRC_PUBLIC_VAT_CHECKER,MANUAL,2026-09-14
